Time,Time from zero,Wear(vol)
1359.200065,37.20000177,0.054141555
1359.300065,37.30000177,0.053928558
1359.400065,37.40000178,0.053808618
1359.500065,37.50000178,0.053753279
1359.600065,37.60000179,0.053910449
1359.700065,37.70000179,0.053826768
1359.800065,37.8000018,0.053041462
1359.900065,37.9000018,0.051383376
1360.000065,38.0000018,0.050139893
1360.100065,38.10000181,0.050091688
1360.200065,38.20000181,0.050361477
1360.300065,38.30000182,0.050553277
1360.400065,38.40000182,0.050760794
1360.500065,38.50000183,0.050619528
1360.600065,38.60000183,0.052794676
1360.700065,38.70000184,0.060291719
1360.800065,38.80000184,0.071011961
1360.900065,38.90000185,0.082883038
1361.000065,39.00000185,0.087159894
1361.100065,39.10000186,0.088118523
1361.200065,39.20000186,0.088452816
1361.300065,39.30000187,0.08869499
1361.400065,39.40000187,0.088829115
1361.500065,39.50000188,0.089343704
1361.600065,39.60000188,0.084451713
1361.700065,39.70000189,0.068434492
1361.800065,39.80000189,0.059340559
1361.900065,39.9000019,0.055356551
1362.000065,40.0000019,0.058230892
1362.100065,40.1000019,0.056614079
1362.200065,40.20000191,0.05878932
1362.300065,40.30000191,0.078160122
1362.400065,40.40000192,0.069701605
1362.500065,40.50000192,0.052549273
1362.600065,40.60000193,0.047737304
1362.700065,40.70000193,0.049220797
1362.800065,40.80000194,0.048921574
1362.900065,40.90000194,0.042275034
1363.000065,41.00000195,0.034568109
1363.100065,41.10000195,0.031826776
1363.200065,41.20000196,0.031011689
1363.300065,41.30000196,0.030977041
1363.400065,41.40000197,0.031190522
1363.500065,41.50000197,0.03122923
1363.600065,41.60000198,0.031124659
1363.700065,41.70000198,0.030961134
1363.800065,41.80000199,0.031057596
1363.900065,41.90000199,0.032150924
1364.000065,42.00000199,0.032908801
1364.100065,42.100002,0.035559259
1364.200065,42.200002,0.035674114
1364.300065,42.30000201,0.034035146
1364.400065,42.40000201,0.033584449
1364.500065,42.50000202,0.035109904
1364.600065,42.60000202,0.039295916
1364.700065,42.70000203,0.039921496
1364.800065,42.80000203,0.040156446
1364.900065,42.90000204,0.046876825
1365.000065,43.00000204,0.05423408
1365.100065,43.10000205,0.055378545
1365.200065,43.20000205,0.05186845
1365.300065,43.30000206,0.048294209
1365.400065,43.40000206,0.047017258
1365.500065,43.50000207,0.045530301
1365.600065,43.60000207,0.044304654
1365.700065,43.70000208,0.043947261
1365.800065,43.80000208,0.044167798
1365.900065,43.90000209,0.044241056
1366.000065,44.00000209,0.044368114
1366.100065,44.10000209,0.044701904
1366.200065,44.2000021,0.04535519
1366.300065,44.3000021,0.045817345
1366.400065,44.40000211,0.045528367
1366.500065,44.50000211,0.046028782
1366.600065,44.60000212,0.046704769
1366.700065,44.70000212,0.046076186
1366.800065,44.80000213,0.044758897
1366.900065,44.90000213,0.044585638
1367.000065,45.00000214,0.045297571
1367.100065,45.10000214,0.045813974
1367.200065,45.20000215,0.045051079
1367.300065,45.30000215,0.042928841
1367.400065,45.40000216,0.041160017
1367.500065,45.50000216,0.040542103
1367.600065,45.60000217,0.041063469
1367.700065,45.70000217,0.042442687
1367.800065,45.80000218,0.04412324
1367.900065,45.90000218,0.04522961
1368.000065,46.00000218,0.045704134
1368.100065,46.10000219,0.045560412
1368.200065,46.20000219,0.044559326
1368.300065,46.3000022,0.042886581
1368.400065,46.4000022,0.04135976
1368.500065,46.50000221,0.040964961
1368.600065,46.60000221,0.042218454
1368.700065,46.70000222,0.044417843
1368.800065,46.80000222,0.047372553
1368.900065,46.90000223,0.050687861
1369.000065,47.00000223,0.052415982
1369.100065,47.10000224,0.052493636
1369.200065,47.20000224,0.052046403
1369.300065,47.30000225,0.054195929
1369.400065,47.40000225,0.051488243
1369.500065,47.50000226,0.044729207
1369.600065,47.60000226,0.040778875
1369.700065,47.70000227,0.043918155
1369.800065,47.80000227,0.046204466
1369.900065,47.90000228,0.054975122
1370.000065,48.00000228,0.049026135
1370.100065,48.10000228,0.047050163
1370.200065,48.20000229,0.044820897
1370.300065,48.30000229,0.043787066
1370.400065,48.4000023,0.039436243
1370.500065,48.5000023,0.040136896
1370.600065,48.60000231,0.039590426
1370.700065,48.70000231,0.03959633
1370.800065,48.80000232,0.042288251
1370.900065,48.90000232,0.046247646
1371.000065,49.00000233,0.038351752
1371.100065,49.10000233,0.029333588
1371.200065,49.20000234,0.026697485
1371.300065,49.30000234,0.026672058
1371.400065,49.40000235,0.026977044
1371.500065,49.50000235,0.027537685
1371.600065,49.60000236,0.028230099
1371.700065,49.70000236,0.029374935
1371.800065,49.80000237,0.031847015
1371.900065,49.90000237,0.032996502
1372.000065,50.00000237,0.032697447
1372.100065,50.10000238,0.032373682
1372.200065,50.20000238,0.032210439
1372.300065,50.30000239,0.031975314
1372.400065,50.40000239,0.031883374
1372.500065,50.5000024,0.031914182
1372.600065,50.6000024,0.03186129
1372.700065,50.70000241,0.031926021
1372.800065,50.80000241,0.03210339
1372.900065,50.90000242,0.032242518
1373.000065,51.00000242,0.03240183
1373.100065,51.10000243,0.032598976
1373.200065,51.20000243,0.033998922
1373.300065,51.30000244,0.038552798
1373.400065,51.40000244,0.038677659
1373.500065,51.50000245,0.033825859
1373.600065,51.60000245,0.036045495
1373.700065,51.70000246,0.041950148
1373.800065,51.80000246,0.038764913
1373.900065,51.90000247,0.034118779
1374.000065,52.00000247,0.032972526
1374.100065,52.10000247,0.034394849
1374.200065,52.20000248,0.033766806
1374.300065,52.30000248,0.038504984
1374.400065,52.40000249,0.042705167
1374.500065,52.50000249,0.050894391
1374.600065,52.6000025,0.053400327
1374.700065,52.7000025,0.052878294
1374.800065,52.80000251,0.053069241
1374.900065,52.90000251,0.050842538
1375.000065,53.00000252,0.047458716
1375.100065,53.10000252,0.042136371
1375.200065,53.20000253,0.038352709
1375.300065,53.30000253,0.036529686
1375.400065,53.40000254,0.03584709
1375.500065,53.50000254,0.039705183
1375.600065,53.60000255,0.046259873
1375.700065,53.70000255,0.038858775
1375.800065,53.80000256,0.038601916
1375.900065,53.90000256,0.034373648
1376.000065,54.00000256,0.031241423
1376.100065,54.10000257,0.034771446
1376.200065,54.20000257,0.040628094
1376.300065,54.30000258,0.042615917
1376.400065,54.40000258,0.037160791
1376.500065,54.50000259,0.039697949
1376.600065,54.60000259,0.041155551
1376.700065,54.7000026,0.040070523
1376.800065,54.8000026,0.045457169
1376.900065,54.90000261,0.055460777
1377.000065,55.00000261,0.056207143
1377.100065,55.10000262,0.066954099
1377.200065,55.20000262,0.069670647
1377.300065,55.30000263,0.057234105
1377.400065,55.40000263,0.041845765
1377.500065,55.50000264,0.034708988
1377.600065,55.60000264,0.04120991
1377.700065,55.70000265,0.063464388
1377.800065,55.80000265,0.059042871
1377.900065,55.90000266,0.049130458
1378.000065,56.00000266,0.049602065
1378.100065,56.10000266,0.062482405
1378.200065,56.20000267,0.044312757
1378.300065,56.30000267,0.031652261
1378.400065,56.40000268,0.035200529
1378.500065,56.50000268,0.035892464
1378.600065,56.60000269,0.035102285
1378.700065,56.70000269,0.038972475
1378.800065,56.8000027,0.039065164
1378.900065,56.9000027,0.034540057
1379.000065,57.00000271,0.029971637
1379.100066,57.10000271,0.029298555
1379.200066,57.20000272,0.032673877
1379.300066,57.30000272,0.04160881
1379.400066,57.40000273,0.04213636
1379.500066,57.50000273,0.044644378
1379.600066,57.60000274,0.037579656
1379.700066,57.70000274,0.032644521
1379.800066,57.80000275,0.033654533
1379.900066,57.90000275,0.035334297
1380.000066,58.00000275,0.034370188
1380.100066,58.10000276,0.034807332
1380.200066,58.20000276,0.035428781
1380.300066,58.30000277,0.038147401
1380.400066,58.40000277,0.038087185
1380.500066,58.50000278,0.043451503
1380.600066,58.60000278,0.047162462
1380.700066,58.70000279,0.041567735
1380.800066,58.80000279,0.051669385
1380.900066,58.9000028,0.052885
1381.000066,59.0000028,0.051160932
1381.100066,59.10000281,0.065020002
1381.200066,59.20000281,0.069734149
1381.300066,59.30000282,0.062499732
1381.400066,59.40000282,0.059488211
1381.500066,59.50000283,0.047820129
1381.600066,59.60000283,0.034029629
1381.700066,59.70000284,0.035735775
1381.800066,59.80000284,0.04681718
1381.900066,59.90000285,0.046275955
1382.000066,60.00000285,0.03942835
1382.100066,60.10000285,0.031246342
1382.200066,60.20000286,0.027848469
1382.300066,60.30000286,0.027824618
1382.400066,60.40000287,0.030867973
1382.500066,60.50000287,0.035135467
1382.600066,60.60000288,0.038548656
1382.700066,60.70000288,0.042177781
1382.800066,60.80000289,0.051614191
1382.900066,60.90000289,0.055172291
1383.000066,61.0000029,0.049139351
1383.100066,61.1000029,0.052019756
1383.200066,61.20000291,0.058899768
1383.300066,61.30000291,0.063917719
1383.400066,61.40000292,0.055841591
1383.500066,61.50000292,0.046252426
1383.600066,61.60000293,0.052334096
1383.700066,61.70000293,0.05033331
1383.800066,61.80000294,0.040214792
1383.900066,61.90000294,0.041862618
1384.000066,62.00000294,0.060438909
1384.100066,62.10000295,0.045686491
1384.200066,62.20000295,0.032165244
1384.300066,62.30000296,0.030451318
1384.400066,62.40000296,0.035231844
1384.500066,62.50000297,0.034964591
1384.600066,62.60000297,0.034192562
1384.700066,62.70000298,0.034865055
1384.800066,62.80000298,0.029963391
1384.900066,62.90000299,0.026357604
1385.000066,63.00000299,0.025952321
1385.100066,63.100003,0.026564116
1385.200066,63.200003,0.027304761
1385.300066,63.30000301,0.027673453
1385.400066,63.40000301,0.02725663
1385.500066,63.50000302,0.026958382
1385.600066,63.60000302,0.02785442
1385.700066,63.70000303,0.028296884
1385.800066,63.80000303,0.026596636
1385.900066,63.90000304,0.027141014
1386.000066,64.00000304,0.030177563
1386.100066,64.10000304,0.033017453
1386.200066,64.20000305,0.032083146
1386.300066,64.30000305,0.030294513
1386.400066,64.40000306,0.029600125
1386.500066,64.50000306,0.030678596
1386.600066,64.60000307,0.031264577
1386.700066,64.70000307,0.030799825
1386.800066,64.80000308,0.03047682
1386.900066,64.90000308,0.032032091
1387.000066,65.00000309,0.03342456
1387.100066,65.10000309,0.032229804
1387.200066,65.2000031,0.030400665
1387.300066,65.3000031,0.029743183
1387.400066,65.40000311,0.033140346
1387.500066,65.50000311,0.041412059
1387.600066,65.60000312,0.042812996
1387.700066,65.70000312,0.040104404
1387.800066,65.80000313,0.035333537
1387.900066,65.90000313,0.03073399
1388.000066,66.00000313,0.029337082
1388.100066,66.10000314,0.035719343
1388.200066,66.20000314,0.043115545
1388.300066,66.30000315,0.046493236
1388.400066,66.40000315,0.045443565
1388.500066,66.50000316,0.046594501
1388.600066,66.60000316,0.040668659
1388.700066,66.70000317,0.033899281
1388.800066,66.80000317,0.035442129
1388.900066,66.90000318,0.036404368
1389.000066,67.00000318,0.035869788
1389.100066,67.10000319,0.031850342
1389.200066,67.20000319,0.028958291
1389.300066,67.3000032,0.029344587
1389.400066,67.4000032,0.0289026
1389.500066,67.50000321,0.026337564
1389.600066,67.60000321,0.025221955
1389.700066,67.70000322,0.025278153
1389.800066,67.80000322,0.025403421
1389.900066,67.90000323,0.025601169
1390.000066,68.00000323,0.026442247
1390.100066,68.10000323,0.027557004
1390.200066,68.20000324,0.028306084
1390.300066,68.30000324,0.030925663
1390.400066,68.40000325,0.033476789
1390.500066,68.50000325,0.036745161
1390.600066,68.60000326,0.04254546
1390.700066,68.70000326,0.042661168
1390.800066,68.80000327,0.032009639
1390.900066,68.90000327,0.026366796
1391.000066,69.00000328,0.025916118
1391.100066,69.10000328,0.026371902
1391.200066,69.20000329,0.033245113
1391.300066,69.30000329,0.041304082
1391.400066,69.4000033,0.047709726
1391.500066,69.5000033,0.044920631
1391.600066,69.60000331,0.035947472
1391.700066,69.70000331,0.027386436
1391.800066,69.80000332,0.026754966
1391.900066,69.90000332,0.034617651
1392.000066,70.00000332,0.037858184
1392.100066,70.10000333,0.032391414
1392.200066,70.20000333,0.029473927
1392.300066,70.30000334,0.029575614
1392.400066,70.40000334,0.037572205
1392.500066,70.50000335,0.042077683
1392.600066,70.60000335,0.037640009
1392.700066,70.70000336,0.032043766
1392.800066,70.80000336,0.03043998
1392.900066,70.90000337,0.030384712
1393.000066,71.00000337,0.032386001
1393.100066,71.10000338,0.037020411
1393.200066,71.20000338,0.036398962
1393.300066,71.30000339,0.041088827
1393.400066,71.40000339,0.049296275
1393.500066,71.5000034,0.044414416
1393.600066,71.6000034,0.041582912
